freq	dB(S21_fitted)
6.10156250000000000E+09	-2.67325835211871254E+00
6.10546875000000000E+09	-2.69557027278565187E+00
6.10937500000000000E+09	-2.71920024078187206E+00
6.11328125000000000E+09	-2.74384779497566100E+00
6.11718750000000000E+09	-2.76922408363129957E+00
6.12109375000000000E+09	-2.79505306125235942E+00
6.12500000000000000E+09	-2.82107238911034308E+00
6.13281250000000000E+09	-2.87270483615865135E+00
6.14062500000000000E+09	-2.92231523306946350E+00
6.14843750000000000E+09	-2.96833526979869244E+00
6.15625000000000000E+09	-3.00942878939700531E+00
6.16406250000000000E+09	-3.04447985244338692E+00
6.17187500000000000E+09	-3.07257726101029949E+00
6.17968750000000000E+09	-3.09299758065322772E+00
6.18750000000000000E+09	-3.10518812870900618E+00
6.19531250000000000E+09	-3.10875092061048575E+00
6.20312500000000000E+09	-3.10342819070284826E+00
6.21093750000000000E+09	-3.08908982193253578E+00
6.21875000000000000E+09	-3.06572281414444436E+00
6.22656250000000000E+09	-3.03342277593519949E+00
6.23437500000000000E+09	-2.99238732339183233E+00
6.24218750000000000E+09	-2.94291119623800990E+00
6.25000000000000000E+09	-2.88538284631130715E+00
6.25781250000000000E+09	-2.82028220603909840E+00
6.26562500000000000E+09	-2.74817929937772387E+00
6.27343750000000000E+09	-2.66973331068046171E+00
6.28125000000000000E+09	-2.58569167675017475E+00
6.28906250000000000E+09	-2.49688871506744992E+00
6.29687500000000000E+09	-2.40424325083246559E+00
6.30468750000000000E+09	-2.30875466405888652E+00
