freq	dB(S11_fitted)
8.60937500000000000E+09	-7.54760085847701268E-01
8.62500000000000000E+09	-7.30510537049566588E-01
8.65625000000000000E+09	-6.87050882953256670E-01
8.68750000000000000E+09	-6.49173953600960973E-01
8.71875000000000000E+09	-6.15831313440920680E-01
8.75000000000000000E+09	-5.86233062940599847E-01
8.78125000000000000E+09	-5.59771271258787673E-01
8.81250000000000000E+09	-5.35969116762508246E-01
8.84375000000000000E+09	-5.14446276401893110E-01
8.87500000000000000E+09	-4.94894842724482142E-01
8.90625000000000000E+09	-4.77062219098661811E-01
8.93750000000000000E+09	-4.60738738965151384E-01
8.96875000000000000E+09	-4.45748546235967547E-01
9.00000000000000000E+09	-4.31942768260328402E-01
9.03125000000000000E+09	-4.19194327982659598E-01
9.06250000000000000E+09	-4.07393946807526164E-01
9.09375000000000000E+09	-3.96447025269699493E-01
9.12500000000000000E+09	-3.86271179840473100E-01
9.15625000000000000E+09	-3.76794276560829644E-01
9.18750000000000000E+09	-3.67952845449553367E-01
9.21875000000000000E+09	-3.59690790061317878E-01
9.25000000000000000E+09	-3.51958328254668940E-01
9.31250000000000000E+09	-3.37909516508552943E-01
9.37500000000000000E+09	-3.25504569396931343E-01
9.43750000000000000E+09	-3.14499521598193277E-01
9.50000000000000000E+09	-3.04695063434232916E-01
9.56250000000000000E+09	-2.95926839136683384E-01
9.62500000000000000E+09	-2.88058197281077788E-01
9.68750000000000000E+09	-2.80974688075476986E-01
9.75000000000000000E+09	-2.74579828949313265E-01
9.81250000000000000E+09	-2.68791806467434391E-01
9.87500000000000000E+09	-2.63540879720621124E-01
9.93750000000000000E+09	-2.58767316142655079E-01
1.00000000000000000E+10	-2.54419736173414124E-01


freq	dB(S21_fitted)
4.00000000000000000E+09	-6.76961036574852102E+01
4.03125000000000000E+09	-6.68851336380870976E+01
4.06250000000000000E+09	-6.61007569535392463E+01
4.09375000000000000E+09	-6.53396381361206551E+01
4.12500000000000000E+09	-6.45988467158661308E+01
4.15625000000000000E+09	-6.38757895093895556E+01
4.18750000000000000E+09	-6.31681537815438858E+01
4.21875000000000000E+09	-6.24738597215237945E+01
4.25000000000000000E+09	-6.17910206821398873E+01
4.31250000000000000E+09	-6.04529317660431360E+01
4.37500000000000000E+09	-5.91415104859147220E+01
4.43750000000000000E+09	-5.78457941260733648E+01
4.50000000000000000E+09	-5.65556891042568992E+01
4.56250000000000000E+09	-5.52615413362407537E+01
4.62500000000000000E+09	-5.39537764950808878E+01
4.68750000000000000E+09	-5.26225773616055221E+01
4.75000000000000000E+09	-5.12575722680263368E+01
4.81250000000000000E+09	-4.98475113231610649E+01
4.87500000000000000E+09	-4.83799062532875652E+01
4.93750000000000000E+09	-4.68406050695170677E+01
