freq_ghz,board_1_s21_db,board_2_s21_db,board_3_s21_db,board_4_s21_db,mean_s21_db,std_s21_db,min_s21_db,max_s21_db
8.750000,-32.446930,-32.864525,-33.043119,-32.877730,-32.808076,0.254106,-33.043119,-32.446930
8.760000,-32.972360,-33.387484,-33.561639,-33.403237,-33.331180,0.251811,-33.561639,-32.972360
8.770000,-33.499305,-33.911937,-34.081622,-33.930252,-33.855779,0.249519,-34.081622,-33.499305
8.780000,-34.027623,-34.437742,-34.602927,-34.458632,-34.381731,0.247232,-34.602927,-34.027623
8.790000,-34.557172,-34.964756,-35.125412,-34.988236,-34.908894,0.244952,-35.125412,-34.557172
8.800000,-35.087810,-35.492839,-35.648937,-35.518920,-35.437126,0.242679,-35.648937,-35.087810
8.810000,-35.619394,-36.021847,-36.173359,-36.050542,-35.966286,0.240416,-36.173359,-35.619394
8.820000,-36.151783,-36.551639,-36.698537,-36.582960,-36.496230,0.238163,-36.698537,-36.151783
8.830000,-36.684832,-37.082073,-37.224330,-37.116031,-37.026817,0.235922,-37.224330,-36.684832
8.840000,-37.218401,-37.613006,-37.750597,-37.649612,-37.557904,0.233694,-37.750597,-37.218401
