freq_ghz,measured_mean_s21_db,sim_s21_db,error_db
6.250000,-9.263694,-6.417161,2.846533
6.260000,-9.088260,-6.479034,2.609227
6.270000,-8.946177,-6.540907,2.405270
6.280000,-8.839691,-6.602780,2.236911
6.290000,-8.771049,-6.664653,2.106397
6.300000,-8.742500,-6.726526,2.015974
6.310000,-8.734784,-6.779380,1.955403
6.320000,-8.727142,-6.832235,1.894907
6.330000,-8.719576,-6.885090,1.834486
6.340000,-8.712084,-6.937944,1.774139
6.350000,-8.704666,-6.990799,1.713867
6.360000,-8.697322,-7.026383,1.670939
6.370000,-8.690051,-7.061967,1.628084
6.380000,-8.682853,-7.097551,1.585303
6.390000,-8.675728,-7.133134,1.542594
6.400000,-8.668676,-7.168718,1.499958
6.410000,-8.661695,-7.182893,1.478802
6.420000,-8.654786,-7.197068,1.457719
6.430000,-8.647949,-7.211243,1.436706
